ダウンロードした時刻：2021/06/07 13:42:06

,東京,東京,東京,東京,東京,東京
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号
2019/7/15,雨後曇,8,1,雨時々曇,8,1
2019/7/16,雨後一時曇,8,1,曇時々雨,8,1
2019/7/17,曇後晴,8,1,曇時々晴,8,1
2019/7/18,曇,8,1,雨一時曇,8,1
2019/7/19,曇一時雨,8,1,曇時々雨,8,1
2019/7/20,曇時々雨,8,1,雨時々曇,8,1
2019/7/21,曇一時雨,8,1,曇後時々雨,8,1
2019/7/22,曇一時雨,8,1,雨時々曇,8,1
2019/7/23,曇時々雨,8,1,曇時々雨,8,1
2019/7/24,曇一時雨後晴,8,1,曇時々晴,8,1
2019/7/25,晴一時雨,8,1,晴,8,1
2019/7/26,晴,8,1,曇時々雨,8,1
2019/7/27,晴一時曇,8,1,曇後雨,8,1
2019/7/28,晴時々曇一時雨,8,1,晴時々薄曇,8,1
2019/7/29,晴一時曇,8,1,曇時々晴,8,1
2019/7/30,晴後一時薄曇,8,1,晴一時薄曇,8,1
2019/7/31,晴後薄曇,8,1,晴時々薄曇,8,1
2019/8/1,晴,8,1,晴,8,1
2019/8/2,晴,8,1,快晴,8,1
2019/8/3,晴,8,1,晴,8,1
2019/8/4,晴,8,1,晴,8,1
2019/8/5,晴,8,1,晴後一時曇,8,1
2019/8/6,晴後薄曇,8,1,薄曇時々晴,8,1
2019/8/7,薄曇時々晴,8,1,晴一時薄曇,8,1
2019/8/8,晴,8,1,晴一時曇,8,1
2019/8/9,晴後一時薄曇,8,1,曇一時晴,8,1
2019/8/10,晴一時曇,8,1,晴,8,1
2019/8/11,晴一時薄曇,8,1,曇一時晴,8,1
2019/8/12,薄曇一時雨,8,1,曇一時晴,8,1
2019/8/13,曇時々晴一時雨、雷を伴う,8,1,晴後曇,8,1
2019/8/14,曇時々晴一時雨,8,1,晴時々曇,8,1
2019/8/15,曇一時晴後一時雨,8,1,曇時々雨,8,1
2019/8/16,曇一時雨,8,1,晴,8,1
2019/8/17,晴,8,1,晴,8,1
2019/8/18,晴後一時曇,8,1,曇時々晴,8,1
2019/8/19,曇時々雨後一時晴,8,1,曇時々雨、雷を伴う,8,1
2019/8/20,曇時々雨、雷を伴う,8,1,曇時々晴,8,1
2019/8/21,曇一時晴,8,1,雨時々曇、雷を伴う,8,1
2019/8/22,曇一時雨,8,1,曇後時々雨,8,1
2019/8/23,雨時々曇,8,1,曇一時雨,8,1
2019/8/24,曇後一時晴,8,1,曇後雨,8,1
2019/8/25,晴,8,1,曇一時雨,8,1
2019/8/26,曇時々晴,8,1,曇時々晴,8,1
2019/8/27,曇一時雨,8,1,雨一時曇,8,1
2019/8/28,雨,8,1,曇時々雨,8,1
2019/8/29,晴時々曇,8,1,晴一時曇,8,1
2019/8/30,雨後時々曇,8,1,曇時々雨,8,1
2019/8/31,曇後一時晴,8,1,曇時々晴,8,1
2019/9/1,曇時々晴,8,1,曇時々晴,8,1
2019/9/2,晴時々曇,8,1,曇時々晴,8,1
2019/9/3,曇一時雨,8,1,雨後曇、雷を伴う,8,1
2019/9/4,曇,8,1,曇,8,1
2019/9/5,曇,8,1,曇後晴,8,1
2019/9/6,晴,8,1,晴,8,1
2019/9/7,晴時々曇,8,1,晴,8,1
2019/9/8,晴時々曇一時雨,8,1,暴風雨,8,1
2019/9/9,薄曇一時雨,8,1,晴,8,1
2019/9/10,晴,8,1,曇一時雨後晴、雷を伴う,8,1
2019/9/11,晴時々曇後一時雨、雷を伴う,8,1,曇一時雨後晴、雷を伴う,8,1
2019/9/12,晴時々曇,8,1,曇,8,1
2019/9/13,曇,8,1,曇時々晴,8,1
2019/9/14,曇一時雨後一時晴,8,1,曇一時雨後晴,8,1
2019/9/15,曇時々晴,8,1,雨時々曇,8,1
2019/9/16,雨後曇,8,1,曇時々晴,8,1
2019/9/17,晴,8,1,曇時々晴,8,1
2019/9/18,雨一時曇,8,1,曇一時雨後一時晴,8,1
2019/9/19,晴一時曇,8,1,晴後曇,8,1
2019/9/20,薄曇一時晴,8,1,曇時々雨,8,1
2019/9/21,曇,8,1,曇後時々晴,8,1
2019/9/22,曇後一時雨,8,1,雨時々曇,8,1
2019/9/23,曇時々晴,8,1,晴一時曇,8,1
2019/9/24,曇時々晴後一時雨,8,1,曇後一時雨,8,1
2019/9/25,晴,8,1,晴後曇,8,1
2019/9/26,晴時々曇,8,1,晴一時曇,8,1
2019/9/27,晴時々薄曇,8,1,晴時々曇,8,1
2019/9/28,晴後曇,8,1,曇後一時雨,8,1
2019/9/29,曇,8,1,曇後一時晴,8,1
2019/9/30,曇後時々晴,8,1,曇時々晴,8,1
2019/10/1,晴時々薄曇,8,1,晴時々薄曇,8,1
2019/10/2,晴一時曇,8,1,晴時々曇,8,1
2019/10/3,曇,8,1,曇一時晴後時々雨,8,1
2019/10/4,雨一時曇後晴、雷を伴う,8,1,快晴,8,1
2019/10/5,晴,8,1,曇時々晴後一時雨,8,1
2019/10/6,雨後曇,8,1,曇後一時晴,8,1
2019/10/7,曇時々晴後一時雨,8,1,雨後一時曇,8,1
2019/10/8,曇,8,1,曇後晴,8,1
2019/10/9,晴,8,1,晴,8,1
2019/10/10,晴後曇,8,1,雨後時々曇,8,1
2019/10/11,曇時々雨,8,1,雨,8,1
2019/10/12,大雨,8,1,暴風雨後晴,8,1
2019/10/13,快晴,8,1,曇一時晴,8,1
2019/10/14,雨,8,1,雨後時々曇,8,1
2019/10/15,曇後一時晴,8,1,曇,8,1
2019/10/16,曇,8,1,曇一時晴,8,1
2019/10/17,曇後雨,8,1,雨時々曇,8,1
2019/10/18,曇時々雨,8,1,大雨,8,1
2019/10/19,曇一時雨,8,1,曇,8,1
2019/10/20,曇,8,1,曇,8,1
2019/10/21,曇,8,1,大雨,8,1
2019/10/22,雨後時々曇,8,1,晴一時曇,8,1
2019/10/23,晴後薄曇,8,1,曇,8,1
2019/10/24,曇,8,1,曇時々雨,8,1
2019/10/25,大雨,8,1,晴時々曇一時雨,8,1
2019/10/26,曇時々晴後一時雨,8,1,晴後一時薄曇,8,1
2019/10/27,曇時々晴,8,1,曇時々雨,8,1
2019/10/28,晴時々曇,8,1,曇一時晴後時々雨,8,1
2019/10/29,雨,8,1,晴一時雨,8,1
2019/10/30,晴,8,1,曇時々晴,8,1
